EG-CHP-MX1
2022-01-15T01:13:48.455120Z - Ethernet port carrier change - {'device': 'port2', 'carrier': 'true'}
2022-01-15T01:13:48.453593Z - Ethernet port carrier change - {'device': 'port1', 'carrier': 'true'}
2022-01-15T01:11:16.837850Z - Ethernet port carrier change - {'device': 'port2', 'carrier': 'true'}
2022-01-15T01:11:06.198267Z - Ethernet port carrier change - {'device': 'port2', 'carrier': 'false'}
2022-01-15T01:11:05.693636Z - Ethernet port carrier change - {'device': 'port2', 'carrier': 'false'}
2022-01-15T01:10:56.233936Z - Ethernet port carrier change - {'device': 'port3', 'carrier': 'true'}
2022-01-15T01:10:56.232362Z - Ethernet port carrier change - {'device': 'port2', 'carrier': 'true'}
2022-01-15T01:10:56.227838Z - Ethernet port carrier change - {'device': 'port1', 'carrier': 'true'}
2022-01-15T01:10:02.457010Z - Ethernet port carrier change - {'device': 'port3', 'carrier': 'true'}
2022-01-15T01:10:02.455455Z - Ethernet port carrier change - {'device': 'port2', 'carrier': 'true'}
2022-01-15T01:10:02.453929Z - Ethernet port carrier change - {'device': 'port1', 'carrier': 'true'}
2022-01-15T01:08:48.514390Z - Ethernet port carrier change - {'device': 'port2', 'carrier': 'true'}
2022-01-15T01:07:43.310838Z - Ethernet port carrier change - {'device': 'port2', 'carrier': 'false'}
2022-01-15T01:07:40.225788Z - Ethernet port carrier change - {'device': 'port2', 'carrier': 'true'}
2022-01-15T01:07:35.923958Z - Ethernet port carrier change - {'device': 'port1', 'carrier': 'true'}
2022-01-15T01:07:27.037878Z - Ethernet port carrier change - {'device': 'port2', 'carrier': 'false'}
2022-01-15T01:07:21.851238Z - Ethernet port carrier change - {'device': 'port2', 'carrier': 'true'}
2022-01-15T01:07:19.770328Z - Ethernet port carrier change - {'device': 'port3', 'carrier': 'true'}
2022-01-15T01:07:19.768785Z - Ethernet port carrier change - {'device': 'port2', 'carrier': 'true'}
2022-01-15T01:07:07.206414Z - Ethernet port carrier change - {'device': 'port2', 'carrier': 'false'}
2022-01-14T12:13:19.353739Z - Ethernet port carrier change - {'device': 'port2', 'carrier': 'true'}
2022-01-14T12:12:04.305979Z - Ethernet port carrier change - {'device': 'port2', 'carrier': 'false'}
2022-01-14T12:12:01.204869Z - Ethernet port carrier change - {'device': 'port2', 'carrier': 'true'}
2022-01-14T12:11:54.212760Z - Ethernet port carrier change - {'device': 'port2', 'carrier': 'false'}
2022-01-14T12:11:48.047835Z - Ethernet port carrier change - {'device': 'port2', 'carrier': 'true'}
2022-01-14T12:11:38.068171Z - Ethernet port carrier change - {'device': 'port2', 'carrier': 'false'}
2022-01-14T12:11:34.502486Z - Ethernet port carrier change - {'device': 'port2', 'carrier': 'true'}
2022-01-14T12:11:08.562577Z - Ethernet port carrier change - {'device': 'port2', 'carrier': 'false'}
2022-01-14T12:11:05.242016Z - Ethernet port carrier change - {'device': 'port2', 'carrier': 'true'}
2022-01-14T12:10:55.681654Z - Ethernet port carrier change - {'device': 'port2', 'carrier': 'false'}
2022-01-14T12:10:51.612174Z - Ethernet port carrier change - {'device': 'port2', 'carrier': 'true'}
2022-01-14T12:10:41.003665Z - Ethernet port carrier change - {'device': 'port2', 'carrier': 'false'}
2022-01-14T12:10:36.551076Z - Ethernet port carrier change - {'device': 'port2', 'carrier': 'true'}
2022-01-14T12:10:24.201924Z - Ethernet port carrier change - {'device': 'port2', 'carrier': 'false'}
2022-01-14T12:10:13.010015Z - Ethernet port carrier change - {'device': 'port2', 'carrier': 'true'}
2022-01-14T12:10:07.301817Z - Ethernet port carrier change - {'device': 'port2', 'carrier': 'false'}
2022-01-14T12:09:56.926620Z - Ethernet port carrier change - {'device': 'port2', 'carrier': 'true'}
2022-01-14T12:09:02.412487Z - Ethernet port carrier change - {'device': 'port2', 'carrier': 'false'}
2022-01-14T12:08:52.830868Z - Ethernet port carrier change - {'device': 'port3', 'carrier': 'true'}
2022-01-14T12:08:52.829355Z - Ethernet port carrier change - {'device': 'port2', 'carrier': 'true'}
2022-01-14T12:08:52.820308Z - Ethernet port carrier change - {'device': 'port1', 'carrier': 'true'}
2022-01-14T12:07:37.624174Z - Ethernet port carrier change - {'device': 'port2', 'carrier': 'true'}
2022-01-14T12:07:30.965249Z - Ethernet port carrier change - {'device': 'port2', 'carrier': 'false'}
2022-01-14T12:07:20.558160Z - Ethernet port carrier change - {'device': 'port2', 'carrier': 'true'}
2022-01-14T12:07:09.177721Z - Ethernet port carrier change - {'device': 'port2', 'carrier': 'false'}
2022-01-14T12:06:56.002914Z - Ethernet port carrier change - {'device': 'port2', 'carrier': 'true'}
2022-01-14T12:06:51.871597Z - Ethernet port carrier change - {'device': 'port2', 'carrier': 'false'}
2022-01-14T12:06:43.348558Z - Ethernet port carrier change - {'device': 'port2', 'carrier': 'true'}
2022-01-14T12:06:42.620167Z - Ethernet port carrier change - {'device': 'port2', 'carrier': 'true'}
####################################################################################################

EG-TAL-MX1
2022-01-20T14:35:15.978914Z - Ethernet port carrier change - {'device': 'port5', 'carrier': 'true'}
2022-01-20T14:35:15.977500Z - Ethernet port carrier change - {'device': 'port1', 'carrier': 'true'}
2022-01-20T14:30:09.681488Z - Ethernet port carrier change - {'device': 'port5', 'carrier': 'true'}
2022-01-20T14:30:09.680155Z - Ethernet port carrier change - {'device': 'port1', 'carrier': 'true'}
2022-01-20T14:25:49.359922Z - Ethernet port carrier change - {'device': 'port5', 'carrier': 'true'}
2022-01-20T14:25:49.358584Z - Ethernet port carrier change - {'device': 'port1', 'carrier': 'true'}
2022-01-20T08:09:30.744210Z - Ethernet port carrier change - {'device': 'port1', 'carrier': 'true'}
2022-01-20T08:09:28.288985Z - Ethernet port carrier change - {'device': 'port1', 'carrier': 'false'}
2022-01-20T08:08:15.492219Z - Ethernet port carrier change - {'device': 'port1', 'carrier': 'true'}
2022-01-20T08:06:51.151993Z - Ethernet port carrier change - {'device': 'port1', 'carrier': 'false'}
2022-01-20T08:06:05.937946Z - Ethernet port carrier change - {'device': 'port1', 'carrier': 'true'}
2022-01-20T08:05:59.363785Z - Ethernet port carrier change - {'device': 'port1', 'carrier': 'false'}
2022-01-19T16:44:00.953942Z - Ethernet port carrier change - {'device': 'port9', 'carrier': 'false'}
2022-01-19T16:43:37.680844Z - Ethernet port carrier change - {'device': 'port9', 'carrier': 'true'}
2022-01-19T16:43:03.616782Z - Ethernet port carrier change - {'device': 'port5', 'carrier': 'true'}
2022-01-19T16:43:03.615516Z - Ethernet port carrier change - {'device': 'port1', 'carrier': 'true'}
2022-01-19T15:46:02.147028Z - Ethernet port carrier change - {'device': 'port9', 'carrier': 'true'}
2022-01-19T15:45:58.308032Z - Ethernet port carrier change - {'device': 'port9', 'carrier': 'false'}
2022-01-19T15:33:06.853965Z - Ethernet port carrier change - {'device': 'port9', 'carrier': 'true'}
